
Transactions:
=============
Id, Type, Veh. Id, Litres sold, Pump #, Fuel Type, Capacity (ltr), Initial fuel (ltr), Fuelling time
1, Car, 1, 39.00, 9, Unleaded, 40, 1, 26.00
2, Car, 2, 38.00, 8, Unleaded, 40, 2, 25.33
3, Car, 5, 38.00, 5, Unleaded, 40, 2, 25.33
4, Car, 6, 38.00, 4, Unleaded, 40, 2, 25.33
5, Car, 7, 37.00, 3, Unleaded, 40, 3, 24.67
6, Van, 8, 73.00, 2, Lpg, 80, 7, 48.67
7, HGV, 3, 122.00, 7, Diesel, 150, 28, 81.33
8, HGV, 4, 120.00, 6, Diesel, 150, 30, 80.00
9, HGV, 9, 122.00, 1, Diesel, 150, 28, 81.33
10, Car, 43, 37.00, 9, Unleaded, 40, 3, 24.67
11, HGV, 19, 114.00, 4, Diesel, 150, 36, 76.00
12, HGV, 18, 116.00, 5, Diesel, 150, 34, 77.33
13, Car, 51, 38.00, 1, Unleaded, 40, 2, 25.33
14, Van, 44, 73.00, 8, Lpg, 80, 7, 48.67
15, Van, 45, 72.00, 7, Lpg, 80, 8, 48.00
16, Car, 57, 40.00, 6, Unleaded, 40, 0, 26.67
17, Car, 64, 40.00, 1, Unleaded, 40, 0, 26.67
18, Van, 58, 71.00, 5, Lpg, 80, 9, 47.33
19, Van, 59, 70.00, 4, Diesel, 80, 10, 46.67
20, HGV, 49, 119.00, 3, Diesel, 150, 31, 79.33
21, HGV, 50, 118.00, 2, Diesel, 150, 32, 78.67
22, Van, 71, 73.00, 7, Lpg, 80, 7, 48.67
23, Car, 84, 38.00, 4, Unleaded, 40, 2, 25.33
24, Car, 95, 39.00, 7, Unleaded, 40, 1, 26.00
25, HGV, 69, 122.00, 9, Diesel, 150, 28, 81.33
26, HGV, 70, 121.00, 8, Diesel, 150, 29, 80.67
27, HGV, 77, 124.00, 1, Diesel, 150, 26, 82.67
28, Car, 108, 38.00, 7, Unleaded, 40, 2, 25.33
29, HGV, 82, 120.00, 6, Diesel, 150, 30, 80.00
30, HGV, 83, 118.00, 5, Diesel, 150, 32, 78.67
